maze_type,pop_size,metric,algo_a,algo_b,u,p_raw,p_holm,rank_biserial,n_a,n_b,note
Parallel Paths,150,path_optimality,GA,ACO,4950.0,0.3221741190216618,1.0,-0.010000000000000009,100,100,
Parallel Paths,150,path_optimality,PSO,ACO,6350.0,6.419610775319761e-08,1.2839221550639522e-06,0.27,100,100,
Parallel Paths,150,time_to_half_entropy,GA,PSO,,,,,0,4,insufficient n
Parallel Paths,150,time_to_half_entropy,GA,ACO,,,,,0,0,insufficient n
Parallel Paths,150,time_to_half_entropy,PSO,ACO,,,,,4,0,insufficient n
Shortest Path Trap,20,success_overall,GA,PSO,0.0,3.521615882394601e-45,9.508362882465422e-44,-1.0,100,100,
Shortest Path Trap,20,success_overall,GA,ACO,0.0,3.521615882394601e-45,9.508362882465422e-44,-1.0,100,100,
Shortest Path Trap,20,success_overall,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Shortest Path Trap,20,iterations,GA,PSO,9990.0,2.9767685994922738e-34,4.762829759187638e-33,0.998,100,100,
Shortest Path Trap,20,iterations,GA,ACO,10000.0,2.2008424586725616e-34,4.6076746338274324e-33,1.0,100,100,
Shortest Path Trap,20,iterations,PSO,ACO,6722.0,2.5932460484693682e-05,0.00018152722339285577,0.34440000000000004,100,100,
Shortest Path Trap,20,diversity_floor,GA,PSO,50.0,1.8452375252229598e-38,4.797617565579695e-37,-0.99,100,100,
Shortest Path Trap,20,diversity_floor,GA,ACO,0.0,3.7473805117792467e-39,1.0117927381803966e-37,-1.0,100,100,
Shortest Path Trap,20,diversity_floor,PSO,ACO,3344.5,4.364146961061104e-05,0.0003927732264954994,-0.33109999999999995,100,100,
Shortest Path Trap,20,mean_entropy,GA,PSO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Shortest Path Trap,20,mean_entropy,GA,ACO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Shortest Path Trap,20,mean_entropy,PSO,ACO,3151.0,6.283915543747157e-06,6.283915543747157e-06,-0.3698,100,100,
Shortest Path Trap,20,path_optimality,GA,PSO,,,,,0,100,insufficient n
Shortest Path Trap,20,path_optimality,GA,ACO,,,,,0,100,insufficient n
Shortest Path Trap,20,path_optimality,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Shortest Path Trap,20,time_to_half_entropy,GA,PSO,,,,,100,3,insufficient n
Shortest Path Trap,20,time_to_half_entropy,GA,ACO,,,,,100,0,insufficient n
Shortest Path Trap,20,time_to_half_entropy,PSO,ACO,,,,,3,0,insufficient n
Shortest Path Trap,50,success_overall,GA,PSO,0.0,3.521615882394601e-45,9.508362882465422e-44,-1.0,100,100,
Shortest Path Trap,50,success_overall,GA,ACO,0.0,3.521615882394601e-45,9.508362882465422e-44,-1.0,100,100,
Shortest Path Trap,50,success_overall,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Shortest Path Trap,50,iterations,GA,PSO,10000.0,2.2032087259340224e-34,4.6076746338274324e-33,1.0,100,100,
