algo,maze_type,pop_size,instance_seed,trial_seed,success_overall,success_postdisruption,iterations,path_length,optimal_length,path_optimality,time_to_half_entropy,diversity_floor,mean_entropy,adaptation_time,entropy_history
GA,Parallel Paths,20,1,42,True,True,1,82,78,1.0512820512820513,,3.646439344671015,3.646439344671015,,[3.646439344671015]
ACO,Parallel Paths,20,1,42,True,True,82,82,78,1.0512820512820513,,3.484183719779189,2.4965408722280182,,"[0.0, 2.019240704636849, 2.119240704636849, 2.4192407046368487, 2.3192407046368486, 3.2393538721672006, 3.384183719779189, 3.484183719779189, 3.484183719779189]"
ACO,Shortest Path Trap,20,1,42,True,True,228,170,170,1.0,,4.321928094887363,3.550097832209373,,"[0.0, 2.503701696057348, 3.246439344671016, 3.0414460711655216, 3.0414460711655216, 3.3841837197791884, 3.721928094887362, 3.721928094887362, 3.621928094887362, 3.621928094887362, 3.621928094887362, 3.721928094887362, 3.721928094887362, 3.6841837197791882, 3.721928094887362, 3.8219280948873617, 4.021928094887362, 4.221928094887362, 4.1219280948873624, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.321928094887363]"
PSO,Parallel Paths,20,1,42,True,True,82,82,78,1.0512820512820513,,0.747584679824574,0.6761490453304568,,"[0.4689955935892812, 0.4689955935892812, 0.4689955935892812, 0.4689955935892812, 0.8475846798245739, 0.8475846798245739, 0.8475846798245739, 0.8475846798245739, 0.747584679824574, 0.747584679824574]"
ACO,Sudden Wall,20,1,42,True,True,486,400,400,1.0,,2.795461844238322,3.8517365895206215,0,"[0.0, 0.9927744539878083, 1.5394910703001345, 2.4709505944546684, 3.446439344671015, 3.7841837197791883, 3.621928094887362, 3.7841837197791888, 3.621928094887362, 3.6841837197791887, 3.308694969562842, 3.746439344671015, 4.1219280948873624, 4.321928094887363, 4.221928094887362, 4.1219280948873624, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.084183719779189, 4.321928094887363, 4.221928094887362, 4.1219280948873624, 4.1219280948873624, 4.221928094887362, 4.021928094887362, 3.208694969562842, 2.795461844238322]"
PSO,Shortest Path Trap,20,1,42,True,True,244,170,170,1.0,,3.984183719779189,3.2675702616528546,,"[0.4689955935892812, 0.4689955935892812, 1.0540157730728, 2.228212945841001, 2.903701696057348, 3.0414460711655216, 3.003701696057348, 3.003701696057348, 3.2414460711655217, 3.1414460711655217, 3.1414460711655217, 3.2414460711655217, 3.484183719779189, 3.6841837197791882, 3.646439344671015, 3.9219280948873623, 4.1219280948873624, 4.1219280948873624, 4.1219280948873624, 4.1219280948873624, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.1219280948873624, 3.984183719779189, 4.021928094887362]"
PSO,Sudden Wall,20,1,42,True,True,944,400,400,1.0,,4.1219280948873624,3.0057658098797533,0,"[0.0, 0.0, 0.0, 0.28639695711595625, 1.675143246409987, 2.4232196723355073, 2.1211274733371868, 1.6804820237218405, 2.5464393446710156, 2.808694969562842, 2.808694969562842, 3.5219280948873624, 2.946439344671015, 3.2841837197791888, 3.621928094887362, 3.5464393446710147, 3.621928094887362, 3.484183719779189, 3.7841837197791888, 3.9219280948873623, 3.921928094887362, 3.546439344671015, 3.721928094887362, 3.6841837197791882, 3.646439344671015, 3.7841837197791888, 3.921928094887362, 3.8219280948873617, 3.646439344671015, 3.6841837197791882, 3.8219280948873617, 3.6841837197791887, 2.9414460711655215, 2.9414460711655215, 3.003701696057348, 1.9954618442383218, 2.165957320949175, 2.408694969562842, 1.6804820237218405, 0.28639695711595625, 0.28639695711595625, 1.4904685707328282, 2.946439344671015, 2.221928094887362, 2.7464393446710154, 2.9037016960573485, 2.321127473337187, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 1.0, 2.2709505944546686, 2.333206219346495, 2.333206219346495, 2.333206219346495, 2.333206219346495, 2.263865121950854, 2.263865121950854, 2.5609640474436812, 3.4086949695628417, 3.8841837197791884, 4.1219280948873624, 3.821928094887362, 4.1219280948873624, 4.021928094887362, 3.7841837197791888, 3.7841837197791888, 3.7841837197791888, 4.021928094887362, 3.8841837197791884, 3.9219280948873623, 3.821928094887362, 4.021928094887362, 4.021928094887362, 4.1219280948873624, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.1219280948873624, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.1219280948873624, 4.321928094887363]"
GA,Shortest Path Trap,20,1,42,False,False,1700,77,170,0.45294117647058824,10,0.0,0.06629393643641374,,"[2.395461844238322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.28639695711595625, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.5689955935892812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
GA,Sudden Wall,20,1,42,False,False,4000,174,400,0.435,40,1.1219280948873622,2.3159727911217605,0,"[3.1464393446710153, 3.065957320949175, 2.8016094970590277, 2.5232196723355074, 2.390468570732828, 2.739353872167201, 2.4232196723355077, 1.9166422780956522, 1.3917601481809734, 0.747584679824574, 0.8475846798245739, 1.3361602543738118, 2.5841837197791886, 2.219240704636849, 2.4577174691301487, 0.8475846798245739, 2.219973094021975, 3.003701696057348, 2.7037016960573483, 2.7414460711655217, 2.460964047443681, 2.457717469130148, 2.0814963295286755, 2.0609640474436812, 2.8659573209491747, 2.457717469130148, 2.319240704636849, 2.5609640474436812, 1.3361602543738118, 2.1149798205164814, 3.1464393446710153, 3.1414460711655217, 1.0219280948873624, 2.1149798205164814, 2.3232196723355076, 2.2577174691301485, 2.701609497059027, 2.319240704636849, 1.9709505944546686, 2.8464393446710154, 2.3192407046368486, 2.3232196723355076, 2.1609640474436813, 2.765957320949175, 2.2577174691301485, 2.8016094970590273, 2.6464393446710153, 2.0814963295286755, 3.108694969562842, 3.139353872167201, 1.4567796494470395, 3.0086949695628418, 1.9814963295286754, 2.119240704636849, 2.660964047443681, 2.721928094887362, 1.8332062193464953, 2.219240704636849, 1.3917601481809734, 2.3232196723355076, 1.7166422780956525, 2.219240704636849, 2.870950594454669, 3.0464393446710156, 2.0814963295286755, 2.460964047443681, 2.808694969562842, 2.495461844238322, 2.695461844238322, 1.7166422780956523, 2.185475297227334, 2.695461844238322, 1.1219280948873622, 1.533206219346495, 2.077235445408308, 3.1464393446710153, 1.8709505944546687, 3.2464393446710154, 2.3609640474436815, 2.921928094887362, 2.621928094887362, 2.0814963295286755, 1.9232196723355077, 2.3199730940219747, 2.3232196723355076, 2.8086949695628416, 3.203701696057348, 2.3609640474436815, 2.070950594454669, 2.2464393446710154, 1.590468570732828, 1.2917601481809735, 1.8166422780956524, 2.1609640474436813, 2.5219280948873624, 2.460964047443681, 2.3232196723355076, 2.460964047443681, 1.3917601481809734, 2.0814963295286755, 2.6841837197791887, 2.4414460711655215, 2.660964047443681, 2.070950594454669, 2.119240704636849, 2.085475297227334, 2.5219280948873624, 2.019240704636849, 1.9437519544205017, 2.8086949695628416, 1.4190352743388661, 3.165957320949175, 1.8709505944546687, 2.908694969562842, 2.2567796494470396, 2.384183719779189, 2.2464393446710154, 2.3232196723355076, 1.6788979029874789, 1.833206219346495, 3.2464393446710154, 1.8166422780956524, 2.4232196723355077, 2.3199730940219747, 2.0814963295286755, 2.0609640474436812, 1.2917601481809733, 2.765957320949175, 2.695461844238322, 2.3232196723355076, 2.460964047443681, 2.460964047443681, 2.1609640474436813, 1.2917601481809733, 2.6841837197791887, 2.7659573209491746, 2.5219280948873624, 2.584183719779189, 2.8464393446710154, 2.9219280948873623, 2.314979820516481, 2.9219280948873623, 2.070950594454669, 2.181496329528675, 2.2232196723355075, 2.2192407046368485, 2.8219280948873626, 1.6788979029874789, 2.7841837197791888, 2.1464393446710157, 2.946439344671015, 2.219240704636849, 2.0814963295286755, 1.7709505944546686, 2.701609497059027, 2.085475297227334, 1.9709505944546686, 2.5577174691301483, 2.865957320949175, 2.319240704636849, 1.6954618442383218, 2.9659573209491747, 2.019240704636849, 2.3609640474436815, 2.319240704636849, 2.1709505944546685, 2.0814963295286755, 2.223219672335508, 2.5609640474436812, 2.3192407046368486, 1.2917601481809735, 2.7841837197791888, 2.2841837197791888, 2.4414460711655215, 3.108694969562842, 2.219240704636849, 3.1414460711655217, 2.119240704636849, 2.5016094970590275, 1.8166422780956524, 2.9709505944546684, 2.660964047443681, 2.55887184844536, 2.5282129458410014, 2.4577174691301487, 2.7016094970590276, 1.4567796494470395, 2.2232196723355075, 2.070950594454669, 1.833206219346495, 2.5414460711655216, 2.181496329528675, 2.739353872167201, 2.808694969562842, 2.319240704636849, 2.846439344671015, 2.319240704636849, 1.1540157730728, 2.2841837197791888, 1.5567796494470396, 1.8192407046368488, 3.1037016960573482, 2.5954618442383217, 1.8166422780956524, 1.9332062193464952, 2.565957320949175, 3.060964047443681, 2.663865121950854, 2.119240704636849, 2.5609640474436812, 3.1464393446710157, 2.841446071165522, 3.1414460711655217, 2.8016094970590273, 2.295461844238322, 1.5567796494470394, 1.578897902987479, 2.360964047443681, 1.2567796494470396, 2.7841837197791888, 2.019973094021975, 2.395461844238322, 2.223219672335508, 1.3361602543738118, 1.7166422780956525, 2.6037016960573482, 0.8475846798245739, 1.0219280948873624, 2.0814963295286755, 2.6219280948873624, 2.119240704636849, 2.863865121950854, 1.5166422780956523, 2.5609640474436812, 0.747584679824574, 2.1414460711655217, 2.460964047443681, 2.695461844238322, 2.219240704636849, 2.6841837197791887, 2.1709505944546685, 1.8166422780956524, 2.384183719779189, 2.3464393446710154, 2.721928094887362, 3.0086949695628418, 2.3588718484453604, 1.6788979029874789, 2.708694969562842, 2.321127473337187, 2.2232196723355075, 2.419973094021975, 2.595461844238322, 2.2149798205164815, 1.1540157730728, 2.5577174691301483, 2.0814963295286755, 1.6709505944546685, 2.219240704636849, 2.8709505944546683, 2.219240704636849, 2.4954618442383216, 1.2917601481809735, 2.8086949695628416, 2.6841837197791887, 2.55887184844536, 2.763865121950854, 2.495461844238322, 2.490468570732828, 2.019240704636849, 1.8332062193464953, 2.721928094887362, 2.3609640474436815, 2.019240704636849, 2.4577174691301487, 2.5954618442383217, 2.4414460711655215, 2.4577174691301487, 2.039353872167201, 3.2393538721672006, 2.903701696057348, 2.070950594454669, 2.55887184844536, 1.8166422780956524, 2.3192407046368486, 1.9709505944546688, 2.721928094887362, 3.1464393446710153, 2.565957320949175, 2.4638651219508536, 2.070950594454669, 2.5841837197791886, 2.4659573209491747, 2.5016094970590275, 1.8332062193464953, 2.408694969562842, 2.260964047443681, 2.7841837197791888, 2.2588718484453603, 2.5261207468426807, 1.7166422780956525, 1.6788979029874789, 1.8332062193464953, 2.321928094887362, 2.808694969562842, 2.5954618442383217, 1.3917601481809734, 2.639353872167201, 1.3917601481809734, 2.4954618442383216, 2.119240704636849, 1.9709505944546686, 2.821928094887362, 3.4414460711655215, 2.1814963295286756, 1.9192407046368487, 2.463865121950854, 1.1219280948873622, 3.4037016960573485, 2.4232196723355077, 1.5567796494470396, 1.9804820237218406, 2.3261207468426806, 2.695461844238322, 2.808694969562842, 2.6709505944546685, 2.6219280948873624, 1.7166422780956525, 2.6016094970590276, 2.019240704636849, 2.695461844238322, 3.039353872167201, 1.9804820237218406, 1.9804820237218406, 1.919240704636849, 1.9332062193464952, 1.1219280948873622, 2.0609640474436812, 2.384183719779189, 2.008694969562842, 2.7841837197791888, 2.384183719779189, 1.9437519544205017, 2.65887184844536, 2.4954618442383216, 1.8166422780956524, 2.5577174691301483, 3.0086949695628418, 2.821928094887362, 2.1149798205164814, 1.833206219346495, 2.419973094021975, 2.9464393446710155, 2.539353872167201, 2.119240704636849, 1.9437519544205017, 1.5166422780956523, 1.9709505944546686, 1.7332062193464952, 1.9332062193464952, 2.0199730940219753, 2.9232196723355077, 2.795461844238322, 2.4841837197791885, 2.019240704636849, 2.160964047443681, 2.960964047443681, 2.946439344671015, 2.5577174691301483, 2.0709505944546684, 2.0814963295286755, 1.9232196723355077, 3.0219280948873624, 2.621928094887362, 2.2037016960573483, 2.6841837197791887, 2.039353872167201, 2.5464393446710156, 2.219240704636849, 1.7332062193464952, 2.1609640474436813, 3.1464393446710153, 2.7659573209491746, 3.384183719779189, 2.546439344671015, 2.939353872167201, 1.9166422780956522, 2.2149798205164815, 3.1464393446710153, 2.660964047443681, 1.7709505944546686, 2.6841837197791887, 2.9016094970590274, 2.319240704636849, 2.6841837197791887, 2.8414460711655214, 2.019973094021975, 2.1609640474436813, 2.621928094887362, 2.4414460711655215]"
